instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
pace16tw_contiki_shell-netperf_memcpy_misaligned,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell_process_thread_shell_server_process,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell-ps_process_thread_shell_ps_process,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell-rime-debug_recv_broadcast,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_shell-rime-ping_recv_mesh,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell-rime_process_thread_shell_send_process,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell-rime_recv_collect,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_shell-sendtest_read_chunk,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_shell_shell_register_command,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_shell-text_process_thread_shell_echo_process,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_tcpip_eventhandler,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_uip-neighbor_uip_neighbor_add,0,0,3,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_uip-neighbor_uip_neighbor_periodic,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_uip-over-mesh_recv_data,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_uip_uip_connect,0,0,3,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_uip_uip_init,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_uip_uip_unlisten,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_webclient_senddata,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_webclient_webclient_appcall,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_CycleGraph_100,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_DejterGraph,112,336,-1,12,0,784,796,7200.01,0.00,0.00
pace16tw_DesarguesGraph,20,30,6,6,0,2380,2387,9.57,9.52,0.04
pace16tw_DodecahedralGraph,20,30,6,6,0,6840,6847,21.69,21.57,0.10
pace16tw_DorogovtsevGoltsevMendesGraph,0,0,2,-1,0,0,0,0.17,0.00,0.00
pace16tw_DoubleStarSnark,30,45,6,6,0,2310,2317,44.73,44.67,0.04
pace16tw_DyckGraph,32,48,7,7,0,7844,7852,205.12,204.94,0.15
pace16tw_ErreraGraph,17,45,6,6,0,117,124,0.31,0.28,0.00
pace16tw_FibonacciTree_10,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_FlowerSnark,20,30,6,6,0,2140,2147,9.56,9.52,0.03
pace16tw_FoldedCubeGraph_7,64,224,-1,17,0,4544,4561,7200.01,0.00,0.00
pace16tw_FolkmanGraph,20,40,6,6,0,170,177,1.24,1.22,0.00
pace16tw_FosterGraph,90,135,-1,7,0,3690,3697,7200.01,0.00,0.00
pace16tw_FriendshipGraph_10,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_abort_abort,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_bankfixe_pagemap_alloc,0,0,2,-1,0,0,0,0.02,0.00,0.00
